split_ratio,rows,train_rows,validation_rows,numeric_present_rate,numeric_candidates,numeric_features,categorical_columns,one_hot_levels,final_feature_count,model,mcc,pr_auc,precision,recall,runtime_seconds,status,error
90/10,1183747,1065372,118375,0.005,837,80,20,50,283,CatBoost,0.18232986113672,0.0760875778553485,0.1866859623733719,0.1875,159.17461430002004,completed,
80/20,1183747,946997,236750,0.001,968,80,20,50,283,CatBoost,0.1821903737169647,0.0742068000124992,0.1864161849710982,0.1875,232.90813800005708,completed,
90/10,1183747,1065372,118375,0.0025,908,80,20,50,283,CatBoost,0.1818479840643506,0.0755447691743955,0.1843971631205673,0.188953488372093,153.9256021999754,completed,
75/25,1183747,887810,295937,0.01,741,80,20,50,283,CatBoost,0.1785291971864434,0.0703181246306055,0.1834595224228305,0.1831395348837209,103.01667819998691,completed,
75/25,1183747,887810,295937,0.02,642,80,20,50,283,CatBoost,0.1779084327496721,0.0711694140674638,0.1833626244874048,0.1819767441860465,115.34140150004532,completed,
75/25,1183747,887810,295937,0.005,837,80,20,50,283,CatBoost,0.1768273417509497,0.0678652839327087,0.1834916864608076,0.1796511627906976,107.9695945000276,completed,
80/20,1183747,946997,236750,0.0025,908,80,20,50,283,CatBoost,0.1746262066969644,0.070949349634345,0.1773049645390071,0.1816860465116279,131.45014850003645,completed,
90/10,1183747,1065372,118375,0.001,968,80,20,50,283,CatBoost,0.173051504350582,0.0738058932853429,0.1756373937677053,0.1802325581395348,127.3003056999296,completed,
75/25,1183747,887810,295937,0.0025,908,80,20,50,283,CatBoost,0.1715649153434139,0.0686735988041092,0.1754890678941311,0.1773255813953488,94.34650859993415,completed,
75/25,1183747,887810,295937,0.001,968,80,20,50,283,CatBoost,0.1695922349988313,0.0664456222425295,0.1744186046511628,0.1744186046511628,82.78810099989641,completed,
75/25,1183747,887810,295937,0.001,968,80,20,50,283,Logistic Regression,0.17812136206313856,0.06997421574400697,0.1848989298454221,0.1808139534883721,84.93761919997633,completed,
75/25,1183747,887810,295937,0.001,968,80,20,50,283,Random Forest,0.19753679239503266,0.09379097673438931,0.20604229607250754,0.19825581395348837,104.82455969997682,completed,
75/25,1183747,887810,295937,0.0025,908,80,20,50,283,Logistic Regression,0.17697338446105199,0.07288843286079905,0.18321513002364065,0.18023255813953487,88.98512359999586,completed,
75/25,1183747,887810,295937,0.0025,908,80,20,50,283,Random Forest,0.19471909648385619,0.09308427867804121,0.20276774969915765,0.19593023255813954,111.63729420001619,completed,
75/25,1183747,887810,295937,0.005,837,80,20,50,283,Logistic Regression,0.18328705816022284,0.07807721926913246,0.18938053097345134,0.1866279069767442,82.48671540000942,completed,
75/25,1183747,887810,295937,0.005,837,80,20,50,283,Random Forest,0.19392029939356886,0.09455423878106413,0.20291616038882138,0.1941860465116279,110.44401410000864,completed,
75/25,1183747,887810,295937,0.01,741,80,20,50,283,Logistic Regression,0.18746252931545918,0.07445882385726174,0.19474313022700118,0.18953488372093022,79.77449199999683,completed,
75/25,1183747,887810,295937,0.01,741,80,20,50,283,Random Forest,0.193871306092566,0.09323412434682951,0.20457354758961682,0.19244186046511627,124.73637649999,completed,
75/25,1183747,887810,295937,0.02,642,80,20,50,283,Logistic Regression,0.18170754997118263,0.0706594759325328,0.1891083183722322,0.18372093023255814,84.02792140003294,completed,
75/25,1183747,887810,295937,0.02,642,80,20,50,283,Random Forest,0.19540119498813216,0.09484209482739686,0.20411871592973954,0.19593023255813954,118.46216730005108,completed,
80/20,1183747,946997,236750,0.001,968,80,20,50,283,Logistic Regression,0.18487206997280756,0.07177260047752346,0.1895424836601307,0.18968023255813954,92.5412176999962,completed,
80/20,1183747,946997,236750,0.001,968,80,20,50,283,Random Forest,0.19858919849365092,0.09753871124468223,0.20441176470588235,0.20203488372093023,116.86720760003664,completed,
80/20,1183747,946997,236750,0.0025,908,80,20,50,283,Logistic Regression,0.18553159021698212,0.076217823659265,0.19013062409288825,0.19040697674418605,99.46598209999502,completed,
80/20,1183747,946997,236750,0.0025,908,80,20,50,283,Random Forest,0.19596466821945133,0.09977053148955886,0.2,0.20130813953488372,119.29703809996136,completed,
80/20,1183747,946997,236750,0.005,837,80,20,50,283,Logistic Regression,0.18991269430044042,0.080158234958959,0.19517543859649122,0.19404069767441862,86.36150890006684,completed,
80/20,1183747,946997,236750,0.005,837,80,20,50,283,Random Forest,0.1990122746962894,0.09536101845321805,0.20594795539033459,0.20130813953488372,118.52864259993657,completed,
80/20,1183747,946997,236750,0.01,756,80,20,50,283,Logistic Regression,0.19233460532378036,0.08146892329346653,0.1978021978021978,0.19622093023255813,110.68742450000718,completed,
80/20,1183747,946997,236750,0.01,756,80,20,50,283,Random Forest,0.19968338888203127,0.09562853525581498,0.2079879427279578,0.2005813953488372,145.97484419995453,completed,
80/20,1183747,946997,236750,0.02,631,80,20,50,283,Logistic Regression,0.18506712970970565,0.0784837780217118,0.1906158357771261,0.18895348837209303,187.42603710002732,completed,
80/20,1183747,946997,236750,0.02,631,80,20,50,283,Random Forest,0.20302646381824108,0.09930392310496636,0.21029082774049218,0.20494186046511628,296.9927381000016,completed,
90/10,1183747,1065372,118375,0.001,968,80,20,50,283,Logistic Regression,0.18059444994132276,0.06795878648349543,0.1847041847041847,0.18604651162790697,129.64849629998207,completed,
90/10,1183747,1065372,118375,0.001,968,80,20,50,283,Random Forest,0.20055929245710988,0.10045703221966239,0.20972644376899696,0.2005813953488372,212.19818609999493,completed,
90/10,1183747,1065372,118375,0.0025,908,80,20,50,283,Logistic Regression,0.18289079640210743,0.07543352137156124,0.18777292576419213,0.1875,126.64164169994183,completed,
90/10,1183747,1065372,118375,0.0025,908,80,20,50,283,Random Forest,0.2034731157169041,0.09816780528772855,0.20974889217134415,0.2063953488372093,179.5358816999942,completed,
90/10,1183747,1065372,118375,0.005,837,80,20,50,283,Logistic Regression,0.17982614161213198,0.07851834835027298,0.18459302325581395,0.18459302325581395,126.52407439996023,completed,
90/10,1183747,1065372,118375,0.005,837,80,20,50,283,Random Forest,0.1991315520274465,0.09889191365190296,0.20689655172413793,0.2005813953488372,161.8567853999557,completed,
90/10,1183747,1065372,118375,0.01,741,80,20,50,283,Logistic Regression,0.19108845824374412,0.08024993626447012,0.19676945668135096,0.19476744186046513,128.33456799993291,completed,
90/10,1183747,1065372,118375,0.01,741,80,20,50,283,Random Forest,0.19982976749526526,0.1024266084736345,0.20684523809523808,0.20203488372093023,285.79892729991116,completed,
90/10,1183747,1065372,118375,0.02,631,80,20,50,283,Logistic Regression,0.19093704619302626,0.07837543727744278,0.19508670520231214,0.19622093023255813,139.88276820001192,completed,
90/10,1183747,1065372,118375,0.02,631,80,20,50,283,Random Forest,0.20886273113673556,0.10087716113645868,0.2175226586102719,0.20930232558139536,159.22828090004623,completed,
