feature,model_importance,line,station,feature_family
L1_S24_F1657,30.0,L1,L1_S24,raw_measurement
L1_S24_F1622,28.0,L1,L1_S24,raw_measurement
L1_S24_F1748,28.0,L1,L1_S24,raw_measurement
line_1_observed_date_values,28.0,L1,line_level,line_timing
L2_S28_F3303,27.0,L2,L2_S28,raw_measurement
station_span,27.0,path,path_level,path_or_family
L2_S27_F3144__is_missing,27.0,L2,L2_S27,raw_measurement_missingness
line_3_date_completeness_pct,27.0,L3,line_level,line_timing
L1_S24_F839,24.0,L1,L1_S24,raw_measurement
L2_S28_F3259,24.0,L2,L2_S28,raw_measurement
L1_S24_F1102,24.0,L1,L1_S24,raw_measurement
line_0_observed_date_values,23.0,L0,line_level,line_timing
L2_S28_F3292,18.0,L2,L2_S28,raw_measurement
L1_S25_F2464,15.0,L1,L1_S25,raw_measurement
L3_S38_F3952,15.0,L3,L3_S38,raw_measurement
L3_S38_F3952__is_missing,14.0,L3,L3_S38,raw_measurement_missingness
L1_S24_F1036,13.0,L1,L1_S24,raw_measurement
L1_S24_F1478,12.0,L1,L1_S24,raw_measurement
L1_S24_F1000,12.0,L1,L1_S24,raw_measurement
L1_S24_F1303,11.0,L1,L1_S24,raw_measurement
L3_S32_F3854__is_missing,11.0,L3,L3_S32,raw_measurement_missingness
last_station,11.0,path,path_level,path_or_family
L1_S24_F1207,10.0,L1,L1_S24,raw_measurement
L0_S10_F215__is_missing,10.0,L0,L0_S10,raw_measurement_missingness
L2_S28_F3237,9.0,L2,L2_S28,raw_measurement
first_station,8.0,path,path_level,path_or_family
line_2_processing_duration,8.0,L2,line_level,line_timing
dbscan_family,7.0,path,path_level,path_or_family
L3_S49_F4206__is_missing,6.0,L3,L3_S49,raw_measurement_missingness
L1_S24_F1814__is_missing,6.0,L1,L1_S24,raw_measurement_missingness
line_count,6.0,line_level,line_level,line_timing
line_0_date_completeness_pct,5.0,L0,line_level,line_timing
L1_S24_F1778__is_missing,5.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1298,4.0,L1,L1_S24,raw_measurement
station_count_phase5,4.0,path,path_level,path_or_family
L1_S24_F1846__is_missing,4.0,L1,L1_S24,raw_measurement_missingness
line_1_date_completeness_pct,4.0,L1,line_level,line_timing
L1_S24_F930,4.0,L1,L1_S24,raw_measurement
line_1_station_count,3.0,L1,line_level,line_timing
line_0_station_count,3.0,L0,line_level,line_timing
L1_S24_F1002__is_missing,3.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1207__is_missing,3.0,L1,L1_S24,raw_measurement_missingness
L3_S32_F3854__eq___MISSING__,2.0,L3,L3_S32,raw_measurement
L1_S24_F1494__is_missing,2.0,L1,L1_S24,raw_measurement_missingness
L1_S25_F2960__is_missing,2.0,L1,L1_S25,raw_measurement_missingness
line_2_present,2.0,L2,line_level,line_timing
L1_S24_F1632__is_missing,1.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F795,1.0,L1,L1_S24,raw_measurement
L1_S24_F1844__is_missing,1.0,L1,L1_S24,raw_measurement_missingness
L2_S28_F3259__is_missing,1.0,L2,L2_S28,raw_measurement_missingness
L1_S24_F1036__is_missing,1.0,L1,L1_S24,raw_measurement_missingness
L1_S25_F2237__is_missing,1.0,L1,L1_S25,raw_measurement_missingness
line_switch_count,1.0,line_level,line_level,line_timing
L1_S25_F2464__is_missing,1.0,L1,L1_S25,raw_measurement_missingness
L1_S25_F2857,1.0,L1,L1_S25,raw_measurement
L0_S10_F243__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F243__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F243__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F243__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F243__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F243__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L1_S24_F1718__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S25_F2857__is_missing,0.0,L1,L1_S25,raw_measurement_missingness
L2_S28_F3303__is_missing,0.0,L2,L2_S28,raw_measurement_missingness
L1_S24_F1212__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F998__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F719__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S25_F2915__is_missing,0.0,L1,L1_S25,raw_measurement_missingness
L1_S24_F1609__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1174__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L2_S28_F3237__is_missing,0.0,L2,L2_S28,raw_measurement_missingness
L2_S28_F3248__is_missing,0.0,L2,L2_S28,raw_measurement_missingness
L1_S24_F1713__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1000__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1748__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F829__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F816__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1326__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1498__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1695__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1604__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F902__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1298__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1581__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1667__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1758__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L0_S10_F243__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F248__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F248__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F250__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F275__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F255__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F255__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F255__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F250__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L2_S28_F3292__is_missing,0.0,L2,L2_S28,raw_measurement_missingness
L1_S24_F1672__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L0_S10_F248__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F248__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F248__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F253__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F253__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F253__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F253__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F275__eq_T1,0.0,L0,L0_S10,raw_measurement
L1_S24_F746,0.0,L1,L1_S24,raw_measurement
L0_S10_F223__eq_T48,0.0,L0,L0_S10,raw_measurement
L1_S24_F719,0.0,L1,L1_S24,raw_measurement
L0_S10_F253__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F253__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F253__eq_T48576,0.0,L0,L0_S10,raw_measurement
L1_S24_F766__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F780__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F785__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
line_0_present,0.0,L0,line_level,line_timing
L1_S25_F2990__is_missing,0.0,L1,L1_S25,raw_measurement_missingness
L1_S24_F1657__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F814__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F775__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1126__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1627__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F795__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1842__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1303__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S25_F2886__is_missing,0.0,L1,L1_S25,raw_measurement_missingness
L1_S24_F1031__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S25_F2466__is_missing,0.0,L1,L1_S25,raw_measurement_missingness
L1_S24_F1474__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1478__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1176__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1622__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L3_S49_F4211__is_missing,0.0,L3,L3_S49,raw_measurement_missingness
L1_S24_F1166__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1700__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F963__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1102__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1490__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F691__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1122__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1004__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F679__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F746__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F958__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
line_2_observed_date_values,0.0,L2,line_level,line_timing
line_2_station_count,0.0,L2,line_level,line_timing
line_2_date_completeness_pct,0.0,L2,line_level,line_timing
line_count_phase5,0.0,line_level,line_level,line_timing
line_1_present,0.0,L1,line_level,line_timing
line_3_present,0.0,L3,line_level,line_timing
L1_S24_F930__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F988__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L3_S49_F4206,0.0,L3,L3_S49,raw_measurement
L1_S24_F867__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F1723__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L3_S32_F3854__eq_T-2147483648,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T256,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T-2147482816,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T8,0.0,L3,L3_S32,raw_measurement
L3_S32_F3851__is_missing,0.0,L3,L3_S32,raw_measurement_missingness
L0_S10_F258__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F258__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L3_S32_F3854__eq_T4,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T2,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T48,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T16,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T-2147482432,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T128,0.0,L3,L3_S32,raw_measurement
L3_S32_F3854__eq_T512,0.0,L3,L3_S32,raw_measurement
L1_S24_F775,0.0,L1,L1_S24,raw_measurement
L0_S10_F250__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F248__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L1_S24_F766,0.0,L1,L1_S24,raw_measurement
L0_S10_F223__eq_T48576,0.0,L0,L0_S10,raw_measurement
L1_S24_F785,0.0,L1,L1_S24,raw_measurement
L1_S24_F839__is_missing,0.0,L1,L1_S24,raw_measurement_missingness
L1_S24_F780,0.0,L1,L1_S24,raw_measurement
L0_S10_F218__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F235__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F235__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F238__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F238__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F238__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F235__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F238__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F238__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F238__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F238__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F215__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F215__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L3_S32_F3851__eq___MISSING__,0.0,L3,L3_S32,raw_measurement
L3_S32_F3851__eq_T1,0.0,L3,L3_S32,raw_measurement
L0_S10_F228__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F228__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F228__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F228__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F228__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F228__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F228__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F225__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F225__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F225__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F218__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F218__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F218__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F218__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F218__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F218__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F273__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F273__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F273__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F220__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F220__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F220__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F233__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F233__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F233__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F233__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F233__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F233__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F233__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F230__eq_T1,0.0,L0,L0_S10,raw_measurement
L0_S10_F230__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F230__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F275__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F223__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F223__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F223__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F223__eq___MISSING__,0.0,L0,L0_S10,raw_measurement
L0_S10_F223__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F258__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F258__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F258__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F258__eq_T32,0.0,L0,L0_S10,raw_measurement
L0_S10_F258__eq_T16777232,0.0,L0,L0_S10,raw_measurement
L0_S10_F248__is_missing,0.0,L0,L0_S10,raw_measurement_missingness
L0_S10_F273__eq_T48576,0.0,L0,L0_S10,raw_measurement
L0_S10_F273__eq_T48,0.0,L0,L0_S10,raw_measurement
L0_S10_F273__eq_T16777248,0.0,L0,L0_S10,raw_measurement
L0_S10_F273__eq_T32,0.0,L0,L0_S10,raw_measurement
